instrument,class,window,runs,p1_pass,funded,alive,breach,dd_med,dd_p90,worstday_med,worstday_max,trades,payout,spread_bp
EURJPY,forex,TEST,17,29.411764705882355,0.0,0.0,0.0,10.388010869444454,12.59160068383881,1.5163447911161414,1.8736856174366243,32.0,0.0,0.5674644270732117
GBPJPY,forex,DEV,19,0.0,0.0,0.0,0.0,10.834662540681068,11.581708026932473,1.7133908826594073,1.743734106924207,40.0,0.0,0.8908730060530209
GBPJPY,forex,TEST,17,0.0,0.0,0.0,0.0,8.261447141102769,8.358325933836927,1.7704014620561488,1.8475680071209717,27.0,0.0,0.8908730060530209
EURGBP,forex,DEV,19,0.0,0.0,0.0,0.0,11.232328013228967,12.692096448701259,1.2962671353970356,1.3235147977971222,35.0,0.0,0.9252833680311009
EURGBP,forex,TEST,17,0.0,0.0,0.0,0.0,8.121375455728737,10.476787891575373,1.3330952706359886,1.377961508628819,32.0,0.0,0.9252833680311009
AUDJPY,forex,DEV,19,0.0,0.0,0.0,0.0,10.436073049002548,12.337194059829725,1.055128258234724,1.0864567559901581,40.0,0.0,0.8073875965076012
AUDJPY,forex,TEST,17,0.0,0.0,0.0,0.0,10.697111148269835,11.856984967422386,1.837174481191775,1.8738362355832465,38.0,0.0,0.8073875965076012
EURAUD,forex,DEV,19,42.10526315789473,21.052631578947366,21.052631578947366,0.0,9.083577571262328,12.318896519695507,1.1058150049000313,1.1746923681116188,44.0,0.0,1.383879533286731
EURAUD,forex,TEST,17,35.294117647058826,0.0,0.0,0.0,9.428456027957672,10.256632748851938,1.2551912479402947,1.2911744845500834,32.0,0.0,1.383879533286731
XAUUSD,metal,DEV,19,84.21052631578947,68.42105263157895,68.42105263157895,0.0,9.94590675298663,10.338694443499907,1.6017070389394679,3.825506597807032,44.0,88.01444002025376,1.5732877322448775
XAUUSD,metal,TEST,17,100.0,100.0,88.23529411764706,11.76470588235294,5.592268162110904,7.012111839676757,3.5678936823302263,6.5827761309060495,30.0,340.44843368045116,1.5732877322448775
XAGUSD,metal,DEV,19,84.21052631578947,36.84210526315789,36.84210526315789,0.0,6.791932245983256,8.13114845900994,1.3765143307579073,1.528221928781948,44.0,0.0,6.836827711941918
XAGUSD,metal,TEST,17,0.0,0.0,0.0,0.0,9.544939209127199,12.342976984278788,1.4862970970499723,1.9098312795400842,17.0,0.0,6.836827711941918
SPX500,index,DEV,19,0.0,0.0,0.0,0.0,9.267364754130277,11.257392982016578,1.3945476831085515,1.5807779699320672,43.0,0.0,0.7821811006964469
SPX500,index,TEST,17,0.0,0.0,0.0,0.0,9.258763393955679,10.08370899137309,1.289448595069573,1.7475786513331057,39.0,0.0,0.7821811006964469
NDX100,index,DEV,19,89.47368421052632,52.63157894736842,52.63157894736842,0.0,5.681060848348296,7.063922400920404,1.8207441823399637,2.786159568926961,32.0,75.51175390079597,0.5059481396607945
NDX100,index,TEST,17,0.0,0.0,0.0,0.0,10.451026126762383,11.362428881666943,1.2206393933783652,2.115087243178814,34.0,0.0,0.5059481396607945
US30,index,DEV,19,10.526315789473683,0.0,0.0,0.0,9.11543951171123,9.571167570144217,1.6628065166757313,1.726238947256212,35.0,0.0,0.4689056862762636
US30,index,TEST,17,0.0,0.0,0.0,0.0,10.475425006280433,11.276124534271606,1.3643468731067914,1.8782618702022702,37.0,0.0,0.4689056862762636
US2000,index,DEV,19,5.263157894736842,0.0,0.0,0.0,12.33676063019191,13.543881282801115,1.0303723585885722,1.6290407864589889,47.0,0.0,1.4775589089653078
US2000,index,TEST,17,0.0,0.0,0.0,0.0,7.969792137846621,10.965861961481432,1.0745424190129522,1.744975839665719,35.0,0.0,1.4775589089653078
GER30,index,DEV,19,73.68421052631578,0.0,0.0,0.0,8.336731427698076,9.728273073636384,1.3833233285757756,1.8758184721818283,37.0,0.0,1.1016146690112714
GER30,index,TEST,17,100.0,0.0,0.0,0.0,6.770224886672657,7.766934004676021,1.3691455463861637,1.3947119272648223,34.0,0.0,1.1016146690112714
UK100,index,DEV,19,0.0,0.0,0.0,0.0,11.560944318976404,12.447869065923573,1.5448729724684187,1.6095210593405074,35.0,0.0,2.0358075219438234
UK100,index,TEST,17,64.70588235294117,0.0,0.0,0.0,7.965229770314932,10.548170864318546,1.5415863980832236,1.6474912207690353,27.0,0.0,2.0358075219438234
JP225,index,DEV,19,26.31578947368421,0.0,0.0,36.84210526315789,8.709358540341372,9.410816134848806,3.565998694005079,5.734940345379992,39.0,0.0,1.4740800732929524
JP225,index,TEST,17,29.411764705882355,0.0,0.0,0.0,7.498948833440034,7.824445835261962,1.224725087210609,1.6502501395347275,35.0,0.0,1.4740800732929524
FRA40,index,DEV,19,15.789473684210526,0.0,0.0,0.0,6.874292718001623,8.73298530687174,2.3928651596462407,2.423622666033131,26.0,0.0,1.4817366302247172
FRA40,index,TEST,17,52.94117647058824,0.0,0.0,0.0,7.757786511407123,8.564691118250439,2.1304551981116777,2.1993104712181246,28.0,0.0,1.4817366302247172
AUS200,index,DEV,19,0.0,0.0,0.0,0.0,11.372328395830586,12.057870191987801,1.7885322994339703,1.8363019671132248,38.0,0.0,7.2755565161010285
AUS200,index,TEST,17,0.0,0.0,0.0,0.0,7.93453657848186,8.534594963639277,1.7651687779781402,1.852035129409873,35.0,0.0,7.2755565161010285
HK50,index,DEV,19,0.0,0.0,0.0,63.1578947368421,6.933269947138509,9.013924446363289,5.089740816390992,5.223893115369829,12.0,0.0,4.37052648057296
HK50,index,TEST,17,0.0,0.0,0.0,0.0,9.438528930811696,10.215439877742853,1.0441332985214091,1.4857436005308737,32.0,0.0,4.37052648057296
EUSTX50,index,DEV,19,36.84210526315789,0.0,0.0,0.0,10.641957202159826,11.35282791426934,1.3502138793606626,2.124117516403331,30.0,0.0,4.275380937431514
EUSTX50,index,TEST,17,0.0,0.0,0.0,0.0,9.627889956582944,10.564671187184997,1.8093844072104028,1.9107872932154502,29.0,0.0,4.275380937431514
USOUSD,energy,DEV,19,15.789473684210526,0.0,0.0,0.0,11.09666943110228,13.465734983056263,1.4458726516434488,1.4598466824356702,47.0,0.0,7.560293339381138
USOUSD,energy,TEST,17,0.0,0.0,0.0,0.0,10.803304641774599,11.560008996658908,1.283510349159269,1.6311677514247729,38.0,0.0,7.560293339381138
UKOUSD,energy,DEV,19,21.052631578947366,0.0,0.0,0.0,7.611087935146209,8.539182317971877,1.4109167860104574,2.0666052931265755,44.0,0.0,7.220737959419041
UKOUSD,energy,TEST,17,29.411764705882355,0.0,0.0,0.0,6.054222098672561,6.807058335610038,1.208103697757377,1.6190950679620026,35.0,0.0,7.220737959419041
BTCUSD,crypto,DEV,19,0.0,0.0,0.0,0.0,9.810744792317996,10.638638243444593,3.419396651120525,3.4552067673109192,52.0,0.0,5.493768967237359
BTCUSD,crypto,TEST,17,0.0,0.0,0.0,0.0,10.306446743787061,12.005937244692003,1.1674028559347798,1.5778451813007779,43.0,0.0,5.493768967237359
ETHUSD,crypto,DEV,19,63.1578947368421,57.89473684210527,15.789473684210526,42.10526315789473,9.22430386313429,10.250481301755089,2.0750334714226986,8.591881966593547,48.0,393.45859494554185,19.758940920766648
ETHUSD,crypto,TEST,17,0.0,0.0,0.0,0.0,11.387140365526568,12.788932885597822,1.776040153451525,1.7848262054687358,46.0,0.0,19.758940920766648
